"Symbol"	"Entrez"	"Description"
"Acta1"	"11459"	"actin alpha 1, skeletal muscle"
"Abcb10"	"56199"	"ATP-binding cassette, sub-family B (MDR/TAP), member 10"
"Urb2"	"382038"	"URB2 ribosome biogenesis 2 homolog (S. cerevisiae)"
"Cog2"	"76332"	"component of oligomeric golgi complex 2"
"Agt"	"11606"	"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)"
"Capn9"	"73647"	"calpain 9"
"Arv1"	"68865"	"ARV1 homolog, fatty acid homeostasis modulator"
"2310022B05Rik"	"69551"	"RIKEN cDNA 2310022B05 gene"
"2810004N23Rik"	"66523"	"RIKEN cDNA 2810004N23 gene"
"Gnpat"	"14712"	"glyceronephosphate O-acyltransferase"
"Sprtn"	"244666"	"SprT-like N-terminal domain"
"Egln1"	"112405"	"egl-9 family hypoxia-inducible factor 1"
"Vps26b"	"69091"	"VPS26 retromer complex component B"
"Jam3"	"83964"	"junction adhesion molecule 3"
"Spata19"	"75469"	"spermatogenesis associated 19"
"Snx19"	"102607"	"sorting nexin 19"
"Adamts8"	"30806"	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 8"
"St14"	"19143"	"suppression of tumorigenicity 14 (colon carcinoma)"
"Aplp2"	"11804"	"amyloid beta (A4) precursor-like protein 2"
"Trpc6"	"22068"	"transient receptor potential cation channel, subfamily C, member 6"
"Birc3"	"11796"	"baculoviral IAP repeat-containing 3"
"Dcun1d5"	"76863"	"DCN1, defective in cullin neddylation 1, domain containing 5 (S. cerevisiae)"
"Pdgfd"	"71785"	"platelet-derived growth factor, D polypeptide"
"Sesn3"	"75747"	"sestrin 3"
"Usp2"	"53376"	"ubiquitin specific peptidase 2"
"Thy1"	"21838"	"thymus cell antigen 1, theta"
"Nectin1"	"58235"	"nectin cell adhesion molecule 1"
"Trim29"	"72169"	"tripartite motif-containing 29"
"Oaf"	"102644"	"out at first homolog"
"Pou2f3"	"18988"	"POU domain, class 2, transcription factor 3"
"Grik4"	"110637"	"glutamate receptor, ionotropic, kainate 4"
"Sc5d"	"235293"	"sterol-C5-desaturase"
"Ubash3b"	"72828"	"ubiquitin associated and SH3 domain containing, B"
"Crtam"	"54698"	"cytotoxic and regulatory T cell molecule"
"Jhy"	"70989"	"junctional cadherin complex regulator"
"Clmp"	"71566"	"CXADR-like membrane protein"
"Rexo2"	"104444"	"RNA exonuclease 2"
"Nxpe2"	"78252"	"neurexophilin and PC-esterase domain family, member 2"
"Cul5"	"75717"	"cullin 5"
"Barx2"	"12023"	"BarH-like homeobox 2"
"Kcnj5"	"16521"	"potassium inwardly-rectifying channel, subfamily J, member 5"
"Ets1"	"23871"	"E26 avian leukemia oncogene 1, 5' domain"
"Kirrel3"	"67703"	"kirre like nephrin family adhesion molecule 3"
"St3gal4"	"20443"	"ST3 beta-galactoside alpha-2,3-sialyltransferase 4"
"Dcps"	"69305"	"decapping enzyme, scavenger"
"Tirap"	"117149"	"toll-interleukin 1 receptor (TIR) domain-containing adaptor protein"
"Srpr"	"67398"	"signal recognition particle receptor ('docking protein')"
"Rpusd4"	"71989"	"RNA pseudouridylate synthase domain containing 4"
"Abhd12"	"76192"	"abhydrolase domain containing 12"
"Acat1"	"110446"	"acetyl-Coenzyme A acetyltransferase 1"
"4930510E17Rik"	"-"	"-"
"Rdx"	"19684"	"radixin"
"Fdx1"	"14148"	"ferredoxin 1"
"Pou2af1"	"18985"	"POU domain, class 2, associating factor 1"
"Btg4"	"56057"	"BTG anti-proliferation factor 4"
"Hoatz"	"235345"	"HOATZ cilia and flagella associated protein"
"Ppp2r1b"	"73699"	"protein phosphatase 2, regulatory subunit A, beta"
"Alg9"	"102580"	"asparagine-linked glycosylation 9 (alpha 1,2 mannosyltransferase)"
"Cryab"	"12955"	"crystallin, alpha B"
"2310030G06Rik"	"66952"	"RIKEN cDNA 2310030G06 gene"
"Dixdc1"	"330938"	"DIX domain containing 1"
"Tex12"	"66654"	"testis expressed 12"
"Bco2"	"170752"	"beta-carotene oxygenase 2"
"Pts"	"19286"	"6-pyruvoyl-tetrahydropterin synthase"
"Plet1"	"76509"	"placenta expressed transcript 1"
"Cadm1"	"54725"	"cell adhesion molecule 1"
"Bud13"	"215051"	"BUD13 homolog"
"Zpr1"	"22687"	"ZPR1 zinc finger"
"Apoa5"	"66113"	"apolipoprotein A-V"
"Apoa4"	"11808"	"apolipoprotein A-IV"
"Apoc3"	"11814"	"apolipoprotein C-III"
"Apoa1"	"11806"	"apolipoprotein A-I"
"Tagln"	"21345"	"transgelin"
"Bace1"	"23821"	"beta-site APP cleaving enzyme 1"
"Dscaml1"	"114873"	"DS cell adhesion molecule like 1"
"Il10ra"	"16154"	"interleukin 10 receptor, alpha"
"Tmprss4"	"214523"	"transmembrane protease, serine 4"
"Mpzl2"	"14012"	"myelin protein zero-like 2"
"Cd3e"	"12501"	"CD3 antigen, epsilon polypeptide"
"Cd3d"	"12500"	"CD3 antigen, delta polypeptide"
"Arcn1"	"213827"	"archain 1"
"Ddx6"	"13209"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 6"
"Treh"	"58866"	"trehalase (brush-border membrane glycoprotein)"
"Pate4"	"56872"	"prostate and testis expressed 4"
"Ddx25"	"30959"	"DEAD box helicase 25"
"Pus3"	"67049"	"pseudouridine synthase 3"
"Nherf4"	"170761"	"NHERF family PDZ scaffold protein 4"
"Pate6"	"68171"	"prostate and testis expressed 6"
"Nlrx1"	"270151"	"NLR family member X1"
"Acrv1"	"11451"	"acrosomal vesicle protein 1"
"Trappc4"	"60409"	"trafficking protein particle complex 4"
"Chek1"	"12649"	"checkpoint kinase 1"
"Slc37a4"	"14385"	"solute carrier family 37 (glucose-6-phosphate transporter), member 4"
"Hyou1"	"12282"	"hypoxia up-regulated 1"
"Stt3a"	"16430"	"STT3, subunit of the oligosaccharyltransferase complex, homolog A (S. cerevisiae)"
"Fez1"	"235180"	"fasciculation and elongation protein zeta 1 (zygin I)"
"Hinfp"	"102423"	"histone H4 transcription factor"
"C2cd2l"	"71764"	"C2 calcium-dependent domain containing 2-like"
"Tmem218"	"66279"	"transmembrane protein 218"
"Slc37a2"	"56857"	"solute carrier family 37 (glycerol-3-phosphate transporter), member 2"
"Dpagt1"	"13478"	"dolichyl-phosphate N-acetylglucosaminephosphotransferase 1"
"Robo4"	"74144"	"roundabout guidance receptor 4"
"Hmbs"	"15288"	"hydroxymethylbilane synthase"
"Vps11"	"71732"	"VPS11, CORVET/HOPS core subunit"
"Robo3"	"19649"	"roundabout guidance receptor 3"
"Abcg4"	"192663"	"ATP binding cassette subfamily G member 4"
"Mcam"	"84004"	"melanoma cell adhesion molecule"
"Pin1"	"23988"	"peptidyl-prolyl cis/trans isomerase, NIMA-interacting 1"
"Olfm2"	"244723"	"olfactomedin 2"
"Icam5"	"15898"	"intercellular adhesion molecule 5, telencephalin"
"Tyk2"	"54721"	"tyrosine kinase 2"
"Pde4a"	"18577"	"phosphodiesterase 4A, cAMP specific"
"Ilf3"	"16201"	"interleukin enhancer binding factor 3"
"Bmp5"	"12160"	"bone morphogenetic protein 5"
"Tmed1"	"17083"	"transmembrane p24 trafficking protein 1"
"Scg3"	"20255"	"secretogranin III"
"Yipf2"	"74766"	"Yip1 domain family, member 2"
"Lysmd2"	"70082"	"LysM, putative peptidoglycan-binding, domain containing 2"
"Carm1"	"59035"	"coactivator-associated arginine methyltransferase 1"
"Tmod2"	"50876"	"tropomodulin 2"
"Smarca4"	"20586"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"
"Bcl2l10"	"12049"	"Bcl2-like 10"
"Gnb5"	"14697"	"guanine nucleotide binding protein (G protein), beta 5"
"Ldlr"	"16835"	"low density lipoprotein receptor"
"Kank2"	"235041"	"KN motif and ankyrin repeat domains 2"
"Dock6"	"319899"	"dedicator of cytokinesis 6"
"Polr2m"	"28015"	"polymerase (RNA) II (DNA directed) polypeptide M"
"Rab27a"	"11891"	"RAB27A, member RAS oncogene family"
"Aqp9"	"64008"	"aquaporin 9"
"Lipc"	"15450"	"lipase, hepatic"
"Sltm"	"66660"	"SAFB-like, transcription modulator"
"Rsl24d1"	"225215"	"ribosomal L24 domain containing 1"
"Nedd4"	"17999"	"neural precursor cell expressed, developmentally down-regulated 4"
"Rnf111"	"93836"	"ring finger 111"
"Ccnb2"	"12442"	"cyclin B2"
"Myo1e"	"71602"	"myosin IE"
"Mns1"	"17427"	"meiosis-specific nuclear structural protein 1"
"Fam81a"	"76886"	"family with sequence similarity 81, member A"
"Gcnt3"	"72077"	"glucosaminyl (N-acetyl) transferase 3, mucin type"
"Tcf12"	"21406"	"transcription factor 12"
"Anxa2"	"12306"	"annexin A2"
"Cgnl1"	"68178"	"cingulin-like 1"
"Ice2"	"93697"	"interactor of little elongation complex ELL subunit 2"
"Rora"	"19883"	"RAR-related orphan receptor alpha"
"Rp9"	"55934"	"retinitis pigmentosa 9 (human)"
"Itga11"	"319480"	"integrin alpha 11"
"Fem1b"	"14155"	"fem 1 homolog b"
"Cln6"	"76524"	"ceroid-lipofuscinosis, neuronal 6"
"Calml4"	"75600"	"calmodulin-like 4"
"Anp32a"	"11737"	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A"
"Irak1bp1"	"65099"	"interleukin-1 receptor-associated kinase 1 binding protein 1"
"Glce"	"93683"	"glucuronyl C5-epimerase"
"Phip"	"83946"	"pleckstrin homology domain interacting protein"
"Kif23"	"71819"	"kinesin family member 23"
"Ankk1"	"244859"	"ankyrin repeat and kinase domain containing 1"
"Lca5"	"75782"	"Leber congenital amaurosis 5 (human)"
"Drd2"	"13489"	"dopamine receptor D2"
"Sh3bgrl2"	"212531"	"SH3 domain binding glutamic acid-rich protein like 2"
"Elovl4"	"83603"	"elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 4"
"Bckdhb"	"12040"	"branched chain ketoacid dehydrogenase E1, beta polypeptide"
"Zw10"	"26951"	"zw10 kinetochore protein"
"Tent5a"	"212943"	"terminal nucleotidyltransferase 5A"
"Usp28"	"235323"	"ubiquitin specific peptidase 28"
"Tmprss5"	"80893"	"transmembrane protease, serine 5 (spinesin)"
"Htr3a"	"15561"	"5-hydroxytryptamine (serotonin) receptor 3A"
"Nnmt"	"18113"	"nicotinamide N-methyltransferase"
"Cyp19a1"	"13075"	"cytochrome P450, family 19, subfamily a, polypeptide 1"
"Paqr5"	"74090"	"progestin and adipoQ receptor family member V"
"Idh3a"	"67834"	"isocitrate dehydrogenase 3 (NAD+) alpha"
"Tle3"	"21887"	"transducin-like enhancer of split 3"
"Acsbg1"	"94180"	"acyl-CoA synthetase bubblegum family member 1"
"Dnaja4"	"58233"	"DnaJ heat shock protein family (Hsp40) member A4"
"Imp3"	"102462"	"IMP3, U3 small nucleolar ribonucleoprotein"
"Thsd4"	"207596"	"thrombospondin, type I, domain containing 4"
"Ptpn9"	"56294"	"protein tyrosine phosphatase, non-receptor type 9"
"Crabp1"	"12903"	"cellular retinoic acid binding protein I"
"Nr2e3"	"23958"	"nuclear receptor subfamily 2, group E, member 3"
"Ireb2"	"64602"	"iron responsive element binding protein 2"
"Pkm"	"18746"	"pyruvate kinase, muscle"
"Man2c1"	"73744"	"mannosidase, alpha, class 2C, member 1"
"Celf6"	"76183"	"CUGBP, Elav-like family member 6"
"Neil1"	"72774"	"nei endonuclease VIII-like 1 (E. coli)"
"Commd4"	"66199"	"COMM domain containing 4"
"1700017B05Rik"	"74211"	"RIKEN cDNA 1700017B05 gene"
"Psma4"	"26441"	"proteasome subunit alpha 4"
"Chrna3"	"110834"	"cholinergic receptor, nicotinic, alpha polypeptide 3"
"Fam219b"	"78323"	"family with sequence similarity 219, member B"
"Mpi"	"110119"	"mannose phosphate isomerase"
"Ube2q2"	"109161"	"ubiquitin-conjugating enzyme E2Q family member 2"
"Ulk3"	"71742"	"unc-51-like kinase 3"
"Fbxo22"	"71999"	"F-box protein 22"
"Cyp1a2"	"13077"	"cytochrome P450, family 1, subfamily a, polypeptide 2"
"Nrg4"	"83961"	"neuregulin 4"
"Csk"	"12988"	"c-src tyrosine kinase"
"Tmem266"	"244886"	"transmembrane protein 266"
"Etfa"	"110842"	"electron transferring flavoprotein, alpha polypeptide"
"Cyp1a1"	"13076"	"cytochrome P450, family 1, subfamily a, polypeptide 1"
"Clk3"	"102414"	"CDC-like kinase 3"
"Isl2"	"104360"	"insulin related protein 2 (islet 2)"
"Rcn2"	"26611"	"reticulocalbin 2"
"Pstpip1"	"19200"	"proline-serine-threonine phosphatase-interacting protein 1"
"Cyp11a1"	"13070"	"cytochrome P450, family 11, subfamily a, polypeptide 1"
"Tspan3"	"56434"	"tetraspanin 3"
"Stra6"	"20897"	"stimulated by retinoic acid gene 6"
"Tmem30a"	"69981"	"transmembrane protein 30A"
"Hmg20a"	"66867"	"high mobility group 20A"
"Cox7a2"	"12866"	"cytochrome c oxidase subunit 7A2"
"Col12a1"	"12816"	"collagen, type XII, alpha 1"
"Stoml1"	"69106"	"stomatin-like 1"
"Loxl1"	"16949"	"lysyl oxidase-like 1"
"Nptn"	"20320"	"neuroplastin"
"Hcn4"	"330953"	"hyperpolarization-activated, cyclic nucleotide-gated K+ 4"
"Neo1"	"18007"	"neogenin"
"Mto1"	"68291"	"mitochondrial tRNA translation optimization 1"
"Impg1"	"63859"	"interphotoreceptor matrix proteoglycan 1"
"Cgas"	"214763"	"cyclic GMP-AMP synthase"
"Ooep"	"67968"	"oocyte expressed protein"
"Gsta4"	"14860"	"glutathione S-transferase, alpha 4"
"Elovl5"	"68801"	"ELOVL family member 5, elongation of long chain fatty acids (yeast)"
"Gclc"	"14629"	"glutamate-cysteine ligase, catalytic subunit"
"Lrrc1"	"214345"	"leucine rich repeat containing 1"
"Tmed3"	"66111"	"transmembrane p24 trafficking protein 3"
"Mlip"	"69642"	"muscular LMNA-interacting protein"
"Rasgrf1"	"19417"	"RAS protein-specific guanine nucleotide-releasing factor 1"
"Tinag"	"26944"	"tubulointerstitial nephritis antigen"
"Fam83b"	"208994"	"family with sequence similarity 83, member B"
"Ctsh"	"13036"	"cathepsin H"
"Hcrtr2"	"387285"	"hypocretin (orexin) receptor 2"
"Adamts7"	"108153"	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 7"
"Tpm1"	"22003"	"tropomyosin 1, alpha"
"Zic1"	"22771"	"zinc finger protein of the cerebellum 1"
"Plscr1"	"22038"	"phospholipid scramblase 1"
"Lactb"	"80907"	"lactamase, beta"
"Plscr2"	"18828"	"phospholipid scramblase 2"
"Car12"	"76459"	"carbonic anhydrase 12"
"Plod2"	"26432"	"procollagen lysine, 2-oxoglutarate 5-dioxygenase 2"
"Aph1b"	"208117"	"aph1 homolog B, gamma secretase subunit"
"Usp3"	"235441"	"ubiquitin specific peptidase 3"
"Plscr4"	"235527"	"phospholipid scramblase 4"
"Dapk2"	"13143"	"death-associated protein kinase 2"
"Ciao2a"	"68250"	"cytosolic iron-sulfur assembly component 2A"
"Snx1"	"56440"	"sorting nexin 1"
"Ppib"	"19035"	"peptidylprolyl isomerase B"
"Csnk1g1"	"214897"	"casein kinase 1, gamma 1"
"Trip4"	"56404"	"thyroid hormone receptor interactor 4"
"Rbpms2"	"71973"	"RNA binding protein with multiple splicing 2"
"Spg21"	"27965"	"SPG21, maspardin"
"Parp16"	"214424"	"poly (ADP-ribose) polymerase family, member 16"
"Dpp8"	"74388"	"dipeptidylpeptidase 8"
"Igdcc3"	"19289"	"immunoglobulin superfamily, DCC subclass, member 3"
"Dis3l"	"213550"	"DIS3 like exosome 3'-5' exoribonuclease"
"Tipin"	"66131"	"timeless interacting protein"
"Snapc5"	"330959"	"small nuclear RNA activating complex, polypeptide 5"
"Rpl4"	"67891"	"ribosomal protein L4"
"Zwilch"	"68014"	"zwilch kinetochore protein"
"Lctl"	"235435"	"lactase-like"
"Smad3"	"17127"	"SMAD family member 3"
"2300009A05Rik"	"69478"	"RIKEN cDNA 2300009A05 gene"
"Pias1"	"56469"	"protein inhibitor of activated STAT 1"
"U2surp"	"67958"	"U2 snRNP-associated SURP domain containing"
"Atr"	"245000"	"ataxia telangiectasia and Rad3 related"
"Xrn1"	"24127"	"5'-3' exoribonuclease 1"
"Tfdp2"	"211586"	"transcription factor Dp 2"
"Atp1b3"	"11933"	"ATPase, Na+/K+ transporting, beta 3 polypeptide"
"Rasa2"	"114713"	"RAS p21 protein activator 2"
"Ube2cbp"	"70348"	"ubiquitin-conjugating enzyme E2C binding protein"
"Rwdd2a"	"69519"	"RWD domain containing 2A"
"Me1"	"17436"	"malic enzyme 1, NADP(+)-dependent, cytosolic"
"Tbx18"	"76365"	"T-box18"
"Nt5e"	"23959"	"5' nucleotidase, ecto"
"Snx14"	"244962"	"sorting nexin 14"
"Syncrip"	"56403"	"synaptotagmin binding, cytoplasmic RNA interacting protein"
"Zfp949"	"71640"	"zinc finger protein 949"
"Crtap"	"56693"	"cartilage associated protein"
"Cmtm6"	"67213"	"CKLF-like MARVEL transmembrane domain containing 6"
"Dync1li1"	"235661"	"dynein cytoplasmic 1 light intermediate chain 1"
"Cmtm7"	"102545"	"CKLF-like MARVEL transmembrane domain containing 7"
"Stt3b"	"68292"	"STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae)"
"Tgfbr2"	"21813"	"transforming growth factor, beta receptor II"
"Zcwpw2"	"100039681"	"zinc finger, CW type with PWWP domain 2"
"Eomes"	"13813"	"eomesodermin"
"Slc25a36"	"192287"	"solute carrier family 25, member 36"
"Trim42"	"78911"	"tripartite motif-containing 42"
"Clstn2"	"64085"	"calsyntenin 2"
"Rbp2"	"19660"	"retinol binding protein 2, cellular"
"Nmnat3"	"74080"	"nicotinamide nucleotide adenylyltransferase 3"
"Copb2"	"50797"	"coatomer protein complex, subunit beta 2 (beta prime)"
"Mrps22"	"64655"	"mitochondrial ribosomal protein S22"
"Pik3cb"	"74769"	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"
"Faim"	"23873"	"Fas apoptotic inhibitory molecule"
"Armc8"	"74125"	"armadillo repeat containing 8"
"Dbr1"	"83703"	"debranching RNA lariats 1"
"Mras"	"17532"	"muscle and microspikes RAS"
"Cldn18"	"56492"	"claudin 18"
"Nck1"	"17973"	"non-catalytic region of tyrosine kinase adaptor protein 1"
"Cdc25a"	"12530"	"cell division cycle 25A"
"Nme6"	"54369"	"NME/NM23 nucleoside diphosphate kinase 6"
"Map4"	"17758"	"microtubule-associated protein 4"
"Dhx30"	"72831"	"DEAH (Asp-Glu-Ala-His) box polypeptide 30"
"Smarcc1"	"20588"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1"
"Cspg5"	"29873"	"chondroitin sulfate proteoglycan 5"
"Ngp"	"18054"	"neutrophilic granule protein"
"Scap"	"235623"	"SREBF chaperone"
"Ptgs2"	"19225"	"prostaglandin-endoperoxide synthase 2"
"Kif9"	"16578"	"kinesin family member 9"
"Nradd"	"67169"	"neurotrophin receptor associated death domain"
"Pth1r"	"19228"	"parathyroid hormone 1 receptor"
"Prss44"	"73336"	"protease, serine 44"
"Tdgf1"	"21667"	"teratocarcinoma-derived growth factor 1"
"Lrrc2"	"74249"	"leucine rich repeat containing 2"
"Ltf"	"17002"	"lactotransferrin"
"Lrrfip2"	"71268"	"leucine rich repeat (in FLII) interacting protein 2"
"Mlh1"	"17350"	"mutL homolog 1"
"Dclk3"	"245038"	"doublecortin-like kinase 3"
"Trib1"	"211770"	"tribbles pseudokinase 1"
"Stac"	"20840"	"src homology three (SH3) and cysteine rich domain"
"Arpp21"	"74100"	"cyclic AMP-regulated phosphoprotein, 21"
"Pdcd6ip"	"18571"	"programmed cell death 6 interacting protein"
"Fbxl2"	"72179"	"F-box and leucine-rich repeat protein 2"
"Myd88"	"17874"	"myeloid differentiation primary response gene 88"
"Scn5a"	"20271"	"sodium channel, voltage-gated, type V, alpha"
"Wdr48"	"67561"	"WD repeat domain 48"
"Gorasp1"	"74498"	"golgi reassembly stacking protein 1"
"Ttc21a"	"74052"	"tetratricopeptide repeat domain 21A"
"Csrnp1"	"215418"	"cysteine-serine-rich nuclear protein 1"
"Mobp"	"17433"	"myelin-associated oligodendrocytic basic protein"
"Rpsa"	"16785"	"ribosomal protein SA"
"Slc25a38"	"208638"	"solute carrier family 25, member 38"
"Hhatl"	"74770"	"hedgehog acyltransferase-like"
"Nktr"	"18087"	"natural killer tumor recognition sequence"
"Ss18l2"	"26901"	"SS18, nBAF chromatin remodeling complex subunit like 2"
"Pccb"	"66904"	"propionyl Coenzyme A carboxylase, beta polypeptide"
"Vipr1"	"22354"	"vasoactive intestinal peptide receptor 1"
"Lyzl4"	"69032"	"lysozyme-like 4"
"Amotl2"	"56332"	"angiomotin-like 2"
"Cck"	"12424"	"cholecystokinin"
"Cep63"	"28135"	"centrosomal protein 63"
"Trak1"	"67095"	"trafficking protein, kinesin binding 1"
"Ephb1"	"270190"	"Eph receptor B1"
"Abhd5"	"67469"	"abhydrolase domain containing 5"
"Ryk"	"20187"	"receptor-like tyrosine kinase"
"Slco2a1"	"24059"	"solute carrier organic anion transporter family, member 2a1"
"Rab6b"	"270192"	"RAB6B, member RAS oncogene family"
"1110059G10Rik"	"66202"	"RIKEN cDNA 1110059G10 gene"
"Srprb"	"20818"	"signal recognition particle receptor, B subunit"
"Trf"	"22041"	"transferrin"
"Topbp1"	"235559"	"topoisomerase (DNA) II binding protein 1"
"Bfsp2"	"107993"	"beaded filament structural protein 2, phakinin"
"Uba5"	"66663"	"ubiquitin-like modifier activating enzyme 5"
"Nphp3"	"74025"	"nephronophthisis 3 (adolescent)"
"Dnajc13"	"235567"	"DnaJ heat shock protein family (Hsp40) member C13"
"Acp3"	"56318"	"acid phosphatase 3"
"Gnai2"	"14678"	"guanine nucleotide binding protein (G protein), alpha inhibiting 2"
"Mrpl3"	"94062"	"mitochondrial ribosomal protein L3"
"Cpne4"	"74020"	"copine IV"
"Nudt16"	"75686"	"nudix hydrolase 16"
"Nudt16l2"	"73532"	"nudix hydrolase 16 like 2"
"Aste1"	"66595"	"asteroid homolog 1"
"Atp2c1"	"235574"	"ATPase, Ca++-sequestering"
"Pik3r4"	"75669"	"phosphoinositide-3-kinase regulatory subunit 4"
"Col6a4"	"68553"	"collagen, type VI, alpha 4"
"Manf"	"74840"	"mesencephalic astrocyte-derived neurotrophic factor"
"Mapkapk3"	"102626"	"mitogen-activated protein kinase-activated protein kinase 3"
"Cish"	"12700"	"cytokine inducible SH2-containing protein"
"Hemk1"	"69536"	"HemK methyltransferase family member 1"
"Rbm5"	"83486"	"RNA binding motif protein 5"
"Rbm6"	"19654"	"RNA binding motif protein 6"
"Mon1a"	"72825"	"MON1 homolog A, secretory traffciking associated"
"Mst1r"	"19882"	"macrophage stimulating 1 receptor (c-met-related tyrosine kinase)"
"Traip"	"22036"	"TRAF-interacting protein"
"Bsn"	"12217"	"bassoon"
"Apeh"	"235606"	"acylpeptide hydrolase"
"Mst1"	"15235"	"macrophage stimulating 1 (hepatocyte growth factor-like)"
"Amigo3"	"320844"	"adhesion molecule with Ig like domain 3"
"Ip6k1"	"27399"	"inositol hexaphosphate kinase 1"
"Cdhr4"	"69398"	"cadherin-related family member 4"
"Uba7"	"74153"	"ubiquitin-like modifier activating enzyme 7"
"Nckipsd"	"80987"	"NCK interacting protein with SH3 domain"
"Ip6k2"	"76500"	"inositol hexaphosphate kinase 2"
"Prkar2a"	"19087"	"protein kinase, cAMP dependent regulatory, type II alpha"
"Slc25a20"	"57279"	"solute carrier family 25 (mitochondrial carnitine/acylcarnitine translocase), member 20"
"Qars"	"97541"	"glutaminyl-tRNA synthetase"
"Nicn1"	"66257"	"nicolin 1"
"Amt"	"434437"	"aminomethyltransferase"
"Klhdc8b"	"78267"	"kelch domain containing 8B"
"1700102P08Rik"	"112418"	"RIKEN cDNA 1700102P08 gene"
"Usp4"	"22258"	"ubiquitin specific peptidase 4 (proto-oncogene)"
"Nt5m"	"103850"	"5',3'-nucleotidase, mitochondrial"
"Srek1"	"218543"	"splicing regulatory glutamine/lysine-rich protein 1"
"Oas1d"	"100535"	"2'-5' oligoadenylate synthetase 1D"
"Eml4"	"78798"	"echinoderm microtubule associated protein like 4"
"Thsd7a"	"330267"	"thrombospondin, type I, domain containing 7A"
"Flcn"	"216805"	"folliculin"
"Atxn2l"	"233871"	"ataxin 2-like"
"Chsy1"	"269941"	"chondroitin sulfate synthase 1"
"Gpr19"	"14760"	"G protein-coupled receptor 19"
"Fhl3"	"14201"	"four and a half LIM domains 3"
"Pygm"	"19309"	"muscle glycogen phosphorylase"
"Colgalt2"	"269132"	"collagen beta(1-O)galactosyltransferase 2"
"Crebl2"	"232430"	"cAMP responsive element binding protein-like 2"
"Marchf3"	"320253"	"membrane associated ring-CH-type finger 3"
"Entrep3"	"68521"	"endosomal transmembrane epsin interactor 3"
"Oas3"	"246727"	"2'-5' oligoadenylate synthetase 3"
"1700025G04Rik"	"69399"	"RIKEN cDNA 1700025G04 gene"
"Pon2"	"330260"	"paraoxonase 2"
"A930018P22Rik"	"68243"	"RIKEN cDNA A930018P22 gene"
"Prorsd1"	"67939"	"prolyl-tRNA synthetase domain containing 1"
"Cd59a"	"12509"	"CD59a antigen"
"6820408C15Rik"	"228778"	"RIKEN cDNA 6820408C15 gene"
"Malt1"	"240354"	"MALT1 paracaspase"
"Oas2"	"246728"	"2'-5' oligoadenylate synthetase 2"
"Nlrp3"	"216799"	"NLR family, pyrin domain containing 3"
"Lmo2"	"16909"	"LIM domain only 2"
"Kank1"	"107351"	"KN motif and ankyrin repeat domains 1"
"Exd2"	"97827"	"exonuclease 3'-5' domain containing 2"
"Resf1"	"67246"	"retroelement silencing factor 1"
"Syde1"	"71709"	"synapse defective 1, Rho GTPase, homolog 1 (C. elegans)"
"Trib3"	"228775"	"tribbles pseudokinase 3"
"Mdfi"	"17240"	"MyoD family inhibitor"
"Mansc1"	"67729"	"MANSC domain containing 1"
"Sbspon"	"226866"	"somatomedin B and thrombospondin, type 1 domain containing"
"Abtb2"	"99382"	"ankyrin repeat and BTB (POZ) domain containing 2"
"Folr2"	"14276"	"folate receptor 2 (fetal)"
"Bmp8a"	"12163"	"bone morphogenetic protein 8a"
"Mier3"	"218613"	"MIER family member 3"
"Snx33"	"235406"	"sorting nexin 33"
"Ablim3"	"319713"	"actin binding LIM protein family, member 3"
"Inppl1"	"16332"	"inositol polyphosphate phosphatase-like 1"
"Pram1"	"378460"	"PML-RAR alpha-regulated adaptor molecule 1"
"Ccdc88a"	"108686"	"coiled coil domain containing 88A"
"Tpcn1"	"252972"	"two pore channel 1"
"Katnip"	"233865"	"katanin interacting protein"
"Heyl"	"56198"	"hairy/enhancer-of-split related with YRPW motif-like"
"Gpbp1"	"73274"	"GC-rich promoter binding protein 1"
"Gab3"	"100503280"	"growth factor receptor bound protein 2-associated protein 3"
"Slc8b1"	"170756"	"solute carrier family 8 (sodium/lithium/calcium exchanger), member B1"
"Bet1"	"12068"	"Bet1 golgi vesicular membrane trafficking protein"
"Kap"	"16483"	"kidney androgen regulated protein"
"Ilvbl"	"216136"	"ilvB (bacterial acetolactate synthase)-like"
"Gng11"	"66066"	"guanine nucleotide binding protein (G protein), gamma 11"
"Trpa1"	"277328"	"transient receptor potential cation channel, subfamily A, member 1"
"Chrm1"	"12669"	"cholinergic receptor, muscarinic 1, CNS"
"Mctp2"	"244049"	"multiple C2 domains, transmembrane 2"
"Gtf3c1"	"233863"	"general transcription factor III C 1"
"Cntrob"	"216846"	"centrobin, centrosomal BRCA2 interacting protein"
"Troap"	"78733"	"trophinin associated protein"
